대분류,기능명,필수 여부,우선순위,세부 요구사항,기술적 참고사항,분류,상태
회원관리,로그인,필수,1,"올바른 ID과 비밀번호를 입력하여 로그인 가능 ",스켈레톤 코드 활용 & OAuth(추가선택),회원 관리,시작 전
,로그인,선택,5,일정 횟수 이상 로그인 실패할시 일정 기간 로그인 잠김,,,
,로그인,선택,5,존재하지 않는 ID를 입력했을 경우 존재하지 않는 ID라고 알림창이 뜬다.,,,
,로그인,선택,5,비밀번호가 틀렸을 경우 틀린 비밀번호를 입력했다고 알림창이 뜬다.,,,
,로그인,선택,5,서버 상의 에러가 있을 시 알림창으로 알린다.,,,
,로그인,선택,5,ID 몇자 이상 입력 시  입력이 제한된다.,,,
,로그인,선택,5,비밀번호 표시여부를 선택할 수 있다.,인풋 창 오른쪽에 눈 모양 아이콘으로 설정 가능,,
,회원가입,필수,1,"강사 여부, ID, 비밀번호, 이름, 닉네임, 연락처, email, 생년월일, 성별, 프로필 사진을 입력하여 회원가입을 진행한다.","ID, 닉네임 중복 체크 필요
unique : ID, nickname, 연락처, email
강사 유무를 확인할 컬럼이 필요함(개발용)",회원 관리,완료
,회원가입,선택,5,회원 약관을 확인할 수 있다.,,,
,회원가입,선택,5,ID가 사용가능한지(중복여부 등) 확인할 수 있다.,,,
,회원가입,선택,5,"ID는 1자에서 20자 사이, 영어 소문자, 숫자로 구성된다.",,,
,회원가입,선택,5,ID 정책에 맞지 않을 경우 확인할 수 있다.,정책에 맞지 않을 경우 alert,,
,회원가입,선택,5,"비밀번호는 최소 8자에서 최대 20자 사이, 특수문자, 소문자, 대문자 포함","정책에 맞지 않을 경우 alert, 저장 시 암호화",,
,회원가입,선택,5,비밀번호 정책에 맞지 않을 경우 확인할 수 있다.,인풋창 placeholder로 정책 표시,,
,회원가입,선택,5,닉네임은 최대 10자로 제한된다.,,,
,회원가입,선택,5,중복된 핸드폰인지 확인할 수 있다.,,,
,회원가입,선택,5,핸드폰 인증을 반드시 진행해야 한다.,"외부 API로 인증, 중복된 번호인지 선행되어야 함",,
,회원가입,선택,5,핸드폰 인증이 완료되면 핸드폰 입력 칸이 비활성화 된다.,,,
,회원가입,선택,5,이메일을 반드시 입력해야 한다.,ㅁㅁㅁㅁ@ㅇㅇㅇㅇ.com 형태로 입력,,
,회원가입,선택,5,이메일이 양식에 맞지 않을 시 확인할 수 있다.,,,
,회원가입,선택,5,생년월일은 캘린더에서 선택이 가능하다.,,,
,회원가입,선택,5,회원가입 이후에 로그인 페이지로 이동한다.,,,
,회원가입,선택,5,"(강사)이력서, 자격증 등 증빙서류를 첨부파일로 첨부해야 한다.",이력서(첨부파일 type: .doc...) 받는 거 필수,,
,회원가입,선택,5,(강사)증빙서류를 여러개 첨부할 수 있다.,,,
,회원가입,선택,5,(강사)회원가입 이후 관리자 승인이 이뤄져야 서비스 이용이 가능하다.,이메일로 합불 통보(SMTP),,
,로그아웃,필수,2,현재 로그인 되어 있는 상태를 로그아웃으로 변경한다.,"세션 삭제, DB(refresh Token 삭제)",회원 관리,완료
,로그아웃,선택,5,로그아웃 이후 홈 화면으로 이동한다.,,,
,ID 찾기,선택,5,아이디를 분실했을 때 아이디를 찾을 수 있다.,,,
,ID 찾기,선택,5,본인 이름과 이메일을 입력 시 본인의 아이디를 알 수 있다.,alert or modal,,
,비밀번호 찾기(변경),선택,5,비밀번호를 분실했을 때 비밀번호를 변경할 수 있다.,사이트에서도 비밀번호를 암호화해서 DB에 저장,,
,비밀번호 찾기(변경),선택,5,핸드폰 번호 인증으로 비밀번호 변경이 가능하다.,"핸드폰 인증이 잘 되었는지, 아이디에 등록된 번호와 인증된 번호가 일치하는지 확인해야 한다",,
,비밀번호 찾기(변경),선택,5,등록되지 않은 핸드폰 번호 입력시 잘못 입력했음을 알 수 있다.,,,
